corrupt, 2
53,58
145,151
blinks
0.81,0
2.08,0
5.6,0
8.16,0
9.71,0
10.2,0
15.72,0
16.35,0
17.98,0
19.03,0
20.1,0
21.34,0
22.9,0
28.15,0
29.91,0
33.89,0
36.14,0
37.78,0
40.12,2
41,0
43.38,0
44.42,0
46.82,0
48.18,0
51.29,0
59.44,0
60.52,0
61.48,0
63.07,0
64.75,0
65.56,0
66.78,0
67.81,0
68.4,0
69.94,0
70.48,0
72.92,0
74.74,0
75.38,0
78.7,0
81.82,0
82.38,0
83.68,0
84.04,0
89.66,0
90.52,0
92.86,0
93.28,0
93.76,0
94.4,0
96.57,0
100.88,0
104.83,0
107.76,0
109.24,0
113.04,0
113.77,0
115.48,0
116.02,0
116.44,0
118.41,0
120.71,0
122,0
125.1,0
126.7,0
127.66,0
128.23,0
132.84,2
134.42,2
135.66,0
137.84,0
138.69,0
141.03,0
143.74,0
144.42,0
153.16,2
153.82,0
155.81,0
157.12,0
157.77,0
158.52,0
160.44,0
161.54,0
162.44,0
166.16,0
166.92,0
169.07,0
170.1,0
171.63,0
174.62,0
175.47,0
176.22,0
180.25,0
183.65,0
188.95,0
189.38,0
190.21,0
190.69,0
192.61,0
193.13,0
196.27,0
196.94,0
